Customer Type,Material Type,Material,Brand,Level,Price
Residential,Calacatta Verona 3cm,MSI QUARTZ,QUARTZ,N/A,N/A
Residential,Home Depot Granite - Azul Platino 3cm Polished,Home Depot Granite,QUARTZ,N/A,N/A
Residential,Noir,Granite,GRANITE,N/A,N/A
Residential,Portrush,Cambria,QUARTZ,N/A,N/A
Residential,Pure White 3cm,Aspen,QUARTZ,N/A,N/A
Residential,Quartzite Wakanda Polished 3cm,Granite,GRANITE,N/A,N/A
Residential,Steel Grey 3cm Leather,Granite,GRANITE,N/A,N/A
Residential,Viatera Quartz Muse 3cm,LG,QUARTZ,N/A,N/A
Residential,White Ice 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Zodiaq - Corian Quartz Valente Pearl 3cm Polish,Zodiaq,QUARTZ,N/A,N/A
Residential,Absolute Black 3cm Dual,Granite,GRANITE,N/A,N/A
Residential,Arctic White 3cm,MSI QUARTZ,QUARTZ,N/A,N/A
Residential,Black Galaxy 2cm Polished,Granite,GRANITE,N/A,N/A
Residential,Botticino 3cm,Aspen,QUARTZ,N/A,N/A
Residential,Concerto 3cm,MSI QUARTZ,QUARTZ,N/A,N/A
Residential,Home Depot Granite - Sapphire Blue 3cm Polished,Home Depot Granite,QUARTZ,N/A,N/A
Residential,Ivory Coast 3cm,Aspen,QUARTZ,N/A,N/A
Residential,Portinari 3cm Polished,Marble,MARBLE,N/A,N/A
Residential,Super White,Marble,MARBLE,N/A,N/A
Residential,Toasted Almond 3cm,MSI QUARTZ,QUARTZ,N/A,N/A
Residential,Perla White 3cm,MSI QUARTZ,QUARTZ,N/A,N/A
Residential,Aspen - Iced White 2cm,Aspen,QUARTZ,N/A,N/A
Residential,Aspen - Peppercorn White 3cm,Aspen,QUARTZ,N/A,N/A
Residential,Bianco Calacatta,SileStone,QUARTZ,N/A,N/A
Residential,Bordeaux 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Casa Blanca 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Granite - Azul Platino 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Granite - New Caledonia 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Granite - Sapphire Blue 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Granite - Steel Grey 3cm Polished,Granite,GRANITE,N/A,N/A
Residential,Helix,SileStone,QUARTZ,N/A,N/A
